;name;description;referrals;properties;history
52;Athgar Heece;A Dybrinthe bounty hunter, Athgar Heece was one of many beings seeking to make a living in and around Jakku’s bleak Niima Outpost. Dybrinthe are accustomed to higher atmospheric temperatures and pressures, meaning Heece was one of the few on Jakku to find its conditions pleasant.;;{'Appearances': ['Star Wars: The Force Awakens (Episode VII)'], 'Locations': ['Jakku', 'Niima Outpost']};
53;Aunt Z;Patrons at Aunt Z's Tavern, the most popular eatery on the Colossus platform, stop in for a quick drink or bite to eat... and the wise advice of the owner, Aunt Z'Vk'Thkrkza. Insightful to a fault, and sometimes brazenly blunt, Aunt Z's charismatic personality has been known to break up a bar fight, quash a robbery, and stoke friendly (and profitable) wagers on race days.;;"{'Appearances': ['Star Wars Resistance'], 'Locations': ['Colossus', ""Aunt Z's Tavern""], 'Gender': ['Female']}";
54;Aurodia Ventafoli;Billed as the Chanteuse of the Stars, Aurodia Ventafoli usually headlines high-end concert halls, but has taken a booking she couldn’t refuse: an extended residency aboard Dryden Vos’s yacht. Ventafoli’s multi-vocoder boosts her already impressive voice so it attains nonhuman frequencies.;;{'Appearances': ['Solo: A Star Wars Story'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.81m '], 'species': ['Human']};
55;Aurra Sing;A feared bounty hunter known for her chalk-white skin and built-in comlink antenna, Aurra Sing was an expert sniper and trained assassin who would work for anyone who paid her. After the death of Jango Fett, Aurra trained Boba Fett as a bounty hunter, teaching him the skills -- and the ruthlessness -- that he would need in pursuing his deadly profession.;['Boba Fett', 'Geonosis', 'Florrum', 'Padmé Amidala', 'Cad Bane', 'Coruscant', 'Senate Building'];{'Appearances': ['Star Wars: The Phantom Menace (Episode I)', 'Star Wars: The Clone Wars'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.83m '], 'species': ['Palliduvan'], 'Vehicles': ['Slave I'], 'Weapons': ['Blaster Rifle']};
56;Avar Kriss;Avar is the brightest, most noble example of Jedi-hood. She always tries to see the good in people and situations, and never puts herself first. She is invigorated about life on the frontier and the challenges it brings, and is an inspiration for those who work with her. She is compassionate, not dogmatic, and always ready to sacrifice herself over others. Avar Kriss is the best of the best.;;{'Appearances': ['Star Wars: The High Republic']};
57;Ax Tagrin;The bounty hunter Ax Tagrin offers his services and raw, brute strength to whichever side seems to be winning and has the credits to pay. During the rise of the First Order, a job from Commander Pyre takes him to the Varkana system to use his penchant for advanced double blaster rifles and energy axes to hunt wanted Resistance spies.;;{'Appearances': ['Star Wars Resistance'], 'Gender': ['Male'], 'species': ['Iktotchi']};
58;AZI-3;AZI-3, the much shorter form of his full designation of AZ-345211896246498721347, is a specialized medical droid programmed to assess injured clone soldiers and deliver even the most ditressing news to his patients on Kamino. His favorite assignments involve hands-on research.;['clone trooper Tup', 'Kaminoans', 'ARC trooper Fives', 'Coruscant'];{'Appearances': ['Star Wars: The Bad Batch', 'Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Locations': ['Kamino'], 'droid': ['Medical Droid']};
59;Azmorigan;Slovenly and greedy, Azmorigan was a gangster of unknown origin who dealt in the trade of rare, and often illegal, goods and services. His base of operations was his ship, the Merchant One, populated with servant droids and his own henchmen. While feared by many, Azmorigan suffered a major embarrassment when he was double-crossed by Lando Calrissian, resulting in the loss of the crime lord's hard-to-find puffer pig.;['Hondo Ohnaka', 'Lothal'];{'Appearances': ['Star Wars Rebels'], 'Gender': ['Male'], 'species': ['Jablogian'], 'generic': ['alien']};
60;B1;Shut away in a storage container with a battalion of super battle droids for many years, aboard the Colossus one battle droid simply nicknamed B1 got a fresh start. While the engineer Neeku was fixing the rest of the rare droids, he upgraded B1's systems for a more commanding and loyal droid than the typical battle bot.;;{'Appearances': ['Star Wars Resistance'], 'droid': ['Battle Droid']};
61;B2EMO;Long ago, B2EMO -- often called Bee-two, or more simply, Bee -- was a cutting-edge groundmech salvage assist unit fresh off the assembly line. Now very old and quite weary for a droid, Bee continues to serve the Andor family, a dedicated member of the clan tasked with towing scrap and assisting in their communications.  ;;{'Appearances': ['Andor'], 'star wars': ['Droid']};
62;Babu Frik;A tiny droidsmith working among the Spice Runners of Kijimi, the well-regarded Babu Frik can reprogram or modify virtually any droid, regardless of the security measures protecting its systems.;;{'Appearances': ['Star Wars: The Rise of Skywalker (Episode IX)']};
63;Babwa Venomor;Trandoshan hunter Babwa Venomor cares only for trophies and bragging rights. Working in conjunction with the Empire's clone troopers, he burns through the lush forests of Kashyyyk to force the planet under Imperial rule. But the promise of a Jedi survivor intrigues Babwa, and he will risk everything to make the Wookiee Gungi his prize.;;{'Appearances': ['Star Wars: The Bad Batch'], 'species': ['Trandoshan']};
64;Bail Organa;A member of Alderaan's royal family and the planet's representative to the Republic Senate since the time of the Clone Wars, Bail Organa earned respect on Coruscant for his honesty and his commitment to justice. Prior to the fall of the Republic, Bail served alongside Senator Padmé Amidala as a member of Chancellor Palpatine's Loyalist Committee. The two became close friends, and recruited like-minded allies to prevent Palpatine's alarming grabs for power. At the end of the war, Bail Organa adopted Padmé's daughter Leia and raised her as an Alderaanian princess. While representing Alderaan in the Imperial Senate, he continued to work secretly with allies such as Mon Mothma and Ahsoka Tano to assist rebel cells scattered across the galaxy, working towards the day that a unified Rebellion could emerge. ;['Alderaan', 'Republic', 'Separatist', 'Senate', 'Palpatine', 'Naboo', 'Padmé Amidala', 'Jedi Order', 'Obi-Wan Kenobi', 'Yoda', 'Coruscant', 'Jedi Temple', 'Empire', 'Breha', 'Leia', 'Anakin Skywalker', 'Rebellion', 'Death Star', 'Obi-Wan Kenobi', 'Tatooine', 'Grand Moff Tarkin'];{'Appearances': ['Star Wars: Attack of the Clones (Episode II)', 'Star Wars: Revenge of the Sith (Episode III)', 'Rogue One: A Star Wars Story', 'Obi-Wan Kenobi', 'Star Wars: The Bad Batch', 'Star Wars: The Clone Wars', 'Star Wars Rebels', 'Tales of the Jedi'], 'Affiliations': ['Rebel Alliance', 'Galactic Republic', 'Galactic Senate', 'Alderaan Royal Family'], 'Locations': ['Alderaan', 'Havoc Outpost'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.99m '], 'Weapons': ['Blaster Pistol'], 'Vehicles': ['Alderaan Cruiser', 'Speeder']};
65;Bala-Tik;An agent of the feared Guavian Death Gang, Bala-Tik’s black leather coat and percussive cannon indicate his status within the galactic underworld. Bala-Tik negotiates business for the Guavians, backed by faceless, voiceless cybernetic soldiers awaiting the signal to take action. Bala-Tik considers Han Solo a capable smuggler and a valuable source of information, but his patience with the slippery Corellian and his endless excuses has all but run out.;;{'Appearances': ['Star Wars: The Force Awakens (Episode VII)'], 'Affiliations': ['Guavian Death Gang'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.8m '], 'species': ['Human']};
66;Barada;Barada was a Klatoonian slave who served as muscle and a mechanic for Jabba the Hutt on Tatooine. As the man in charge of maintenance for all of Jabba’s repulsor-operated vehicles, he was sent to the Great Pit of Carkoon when Jabba tried executing Luke Skywalker and the rest of the Rebels working to free Han Solo from his debt. He was present on one of the skiffs escorting Jabba and his retinue to watch the execution, but when Skywalker set his plan into motion, Barada was cut down by the Jedi’s green-bladed lightsaber.;;{'Appearances': ['Star Wars: Return of the Jedi (Episode VI)'], 'Locations': ['Tatooine', 'The Great Pit of Carkoon'], 'Dimensions': ['Height: 1.7m '], 'Weapons': ['Battle-staff']};
67;Bargwill Tomder;A mangy Cloddogran groom, Bargwill Tomder rules the stables at the Canto Casino’s racetrack, constantly berating the urchins who take care of fathiers. Tomder is as crooked as he is ill-tempered, and for the right price he will doctor fathiers’ feed or take other measures to fix races.;;{'Appearances': ['Star Wars: The Last Jedi (Episode VIII)'], 'Locations': ['Canto Casino'], 'Gender': ['Male'], 'species': ['Cloddogran']};
68;Barriss Offee;The Mirialan Padawan to Luminara Unduli, Barriss Offee preferred learning and studying ancient Jedi texts in the Temple to war. This mindset, while noble, led her down a dark path that saw her betray friends and commit terrible acts.;['Geonosis', 'Ahsoka Tano', 'droid factory', 'brain worms', 'Anakin Skywalker', 'Kit Fisto', 'Coruscant', 'Jedi Temple', 'Tarkin'];{'Appearances': ['Star Wars: Attack of the Clones (Episode II)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Jedi Order'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.66m '], 'species': ['Mirialan'], 'Weapons': ['Lightsaber']};
69;Battle Droid 513;The nomadic Death Watch terrorists from Mandalore kept up their fighting skills by blasting apart dwindling reserves of captured droids. The cruel warriors would delight in picking apart the writhing automatons. Death Watch would then rebuild the droids, without bothering to wipe their memories of their torturous demise. Battle droid 513 consisted of parts cobbled together from a Retail Caucus droid, a standard battle droid, and a crab droid. Its deep-voiced vocodor begged for pity or release from its merciless masters.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Confederacy of Independent Systems'], 'Dimensions': ['Height: 3.39m ']};
70;Baze Malbus;The harsh reality of his Imperial-occupied home world has hardened Baze Malbus into a pragmatic soldier and a crack shot with his heavy repeater cannon. Baze has a bravado that provides a marked contrast to the spiritual centeredness of his best friend and moral compass, Chirrut Îmwe.;;"{'Appearances': ['Rogue One: A Star Wars Story'], 'Gender': ['Male'], 'Weapons': [""Baze Malbus' MWC-35c Repeating Cannon""]}";
71;Bazine Netal;A feared bounty hunter, Bazine Netal grew up on Chaaktil, where she learned a range of deadly martial arts at Delphi Kloda’s combat school. Netal’s baffleweave dress jams sensors, while her black cowl hides burn damage inflicted by a flamethrower in her youth. Netal is a deadly opponent whose typical arsenal includes a snub-nosed blaster, poisoned dagger, throwing knives and concealed thermal detonators. She was at Maz’s castle in the company of Grummgar when Han Solo, Finn and Rey arrived, and slipped away to report their location to the First Order.;;{'Appearances': ['Star Wars: The Force Awakens (Episode VII)'], 'Gender': ['Female'], 'Weapons': ['Blaster Pistol']};
72;BB-8;A skittish but loyal astromech, BB-8 accompanied Poe Dameron on many missions for the Resistance, helping to keep his X-wing in working order. When Poe’s mission to Jakku ended with his capture by the First Order, BB-8 fled into the desert with a vital clue to the location of Luke Skywalker. He rejoined Poe in time for the attack on Starkiller Base, then helped Rey locate Skywalker’s planet of exile. As the Resistance rebuilt its forces after the Battle of Crait, BB-8 helped both Poe and Rey.;['Kaz Xiono', 'the Resistance', 'Galactic Empire', 'Poe Dameron', 'X-wing', 'the First Order', 'Jakku', 'Luke Skywalker', 'Poe', 'Starkiller Base', 'Resistance', 'D’Qar', 'Rose Tico', 'Canto Bight', 'Rose', 'Finn', 'Canto Bight’s jail', 'DJ', 'First Order', 'Supremacy', 'astromech', 'scout walker', 'Crait', 'Poe', 'Poe', 'Rey', 'the Resistance', 'Crait', 'Emperor Palpatine', 'Pasaana', 'D-O'];{'Appearances': ['Star Wars: The Force Awakens (Episode VII)', 'Star Wars: The Last Jedi (Episode VIII)', 'Star Wars: The Rise of Skywalker (Episode IX)', 'Star Wars: Forces of Destiny'], 'Affiliations': ['The Resistance'], 'Dimensions': ['Height: 0.67m '], 'droid': ['Astromech Droid'], 'Vehicles': ['Resistance Transport Pod']};
73;BB-9E;The First Order benefits from the latest technology, and its warships rely on dark, gleaming BB astromech units to keep machinery operational and ensure procedures are followed. Assigned to the Supremacy, BB-9E keeps a sharp photoreceptor out – in every spectrum -- for infiltrators, saboteurs and other threats to Supreme Leader Snoke’s flagship.;;{'Appearances': ['Star Wars: The Last Jedi (Episode VIII)'], 'Affiliations': ['The First Order'], 'droid': ['Astromech Droid']};
74;BD-1;A companion droid designed to assist operations in remote or dangerous locations across the galaxy, BD-1 has an almost disturbing enthusiasm for data collection and little regard for self-preservation. Like other BD units, this droid was programmed to be the ideal assistant to a researcher or explorer operating alone in the field with its ability to traverse all types of terrain.;;{'Locations': ['Bracca'], 'star wars': ['Droid']};
